,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bonaire,Bosnia and Herzegovina,Botswana,Brazil,British Indian Ocean Territory,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Christmas Island,Cocos (Keeling) Islands,Colombia,Comoros,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curazao,Cyprus,Czechia,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland Islands,Faroe Islands,Fiji,Finland,France,French Polynesia,French South Antarctic Territory,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,North Korea,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn Islands,Poland,Portugal,Puerto Rico,Qatar,Republic of the Congo,Romania,Russia,Rwanda,Saint Barthelemy,"Saint Helena, Ascension, and Tristan da Cunha",Saint Kitts and Nevis,Saint Lucia,Saint Martin,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,U.S. Virgin Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Wallis and Futuna,Yemen,Zambia,Zimbabwe
Lithuania,Southeast,South,Southwest,Southeast,Southwest,South,Southwest,Southwest,West,Southeast,Southwest,Southeast,Southwest,Southeast,West,Southeast,Southeast,Southwest,East,West,West,Southwest,West,Southeast,Southwest,Southwest,Southwest,South,Southwest,Southeast,Southwest,Southeast,South,Southwest,South,Southeast,South,West,Southwest,West,South,South,West,East,Southeast,Southeast,Southwest,South,Southeast,Southwest,Southwest,Southwest,West,Southwest,Southeast,Southwest,South,West,Southeast,Southwest,West,Southwest,South,West,South,South,North,South,South,West,West,Southeast,North,West,Southwest,East,South,Southwest,Southeast,West,Southwest,Southwest,South,West,Southwest,East,West,West,Southwest,Southwest,Southwest,West,West,East,Southwest,West,Southeast,Southeast,Southeast,Southeast,West,West,Southeast,Southwest,West,East,West,Southeast,East,South,East,South,Southeast,East,Southeast,Northeast,Southeast,South,Southwest,South,Southwest,#DIV/0!,West,East,South,South,Southeast,Southeast,Southwest,Southwest,East,Southwest,Southeast,West,East,Southeast,Southwest,East,South,Southwest,Southwest,South,Southeast,South,East,Southeast,West,Southeast,East,West,Southwest,South,Southeast,Southeast,East,South,East,West,Southeast,Southeast,Southeast,Southeast,Southwest,Southeast,Southwest,Southwest,Southeast,Southwest,Southwest,Southwest,West,Southeast,South,South,East,South,Southwest,Southwest,Southwest,Southwest,Southwest,West,Southwest,Southeast,Southwest,South,Southeast,Southwest,South,Southeast,Southwest,Southeast,Southwest,Southwest,Southwest,Southeast,Southeast,South,East,South,Southwest,Southeast,South,Southwest,Northwest,Southwest,Southeast,East,East,South,Southeast,Southeast,Southwest,East,Southeast,Southwest,Southwest,Southeast,Southeast,West,East,Southwest,South,Southeast,Southeast,West,West,Southwest,East,Southeast,Southwest,Southeast,Southeast,Southeast,South,South
Luxembourg,East,Southeast,South,West,Southwest,South,Southwest,Southwest,Southwest,East,Southwest,Southeast,East,East,West,Southeast,East,Southwest,East,Northwest,West,South,West,East,Southwest,Southwest,Southeast,South,Southwest,Southeast,Southwest,Southeast,East,South,Southeast,East,South,West,Southwest,West,South,South,Southwest,East,Southeast,Southeast,Southwest,Southeast,Southwest,Southwest,South,Southeast,West,Southwest,Southeast,East,South,Northeast,Southeast,Southwest,West,Southwest,Southeast,West,South,Southeast,Northeast,South,Southeast,West,Northwest,East,Northeast,Southwest,Southwest,East,South,Southwest,East,East,South,Southwest,Southeast,Northwest,Southwest,East,West,West,South,Southwest,Southwest,West,West,East,East,Northwest,East,Southeast,East,Southeast,West,West,Southeast,Southeast,West,East,West,Southeast,East,Southeast,West,Southeast,Southeast,East,East,East,Southeast,South,South,Southeast,Southeast,East,#DIV/0!,East,Southeast,Southeast,Southeast,Southeast,South,Southeast,East,Southwest,Southeast,West,East,East,South,East,Southeast,Southwest,Southwest,Southeast,East,South,East,East,North,Southeast,East,West,South,South,West,Southeast,East,Southeast,East,North,Southeast,East,East,Southeast,Southwest,East,Southwest,Southwest,East,Southwest,East,Southwest,Southwest,Southeast,South,East,East,Southeast,Southwest,South,Southwest,Southwest,Southwest,West,Southwest,West,Southeast,South,Southeast,Southwest,East,Southeast,Southwest,Southeast,Southwest,East,East,East,Southeast,South,East,Southeast,Southwest,Southeast,Southeast,Southwest,Northeast,Southeast,Southeast,East,East,Southeast,East,Southeast,South,West,East,Southwest,South,East,East,West,East,Southwest,Southeast,East,Southeast,Northwest,West,Southwest,East,East,Southwest,East,East,Southeast,South,South
Macao,West,West,West,Southeast,West,West,West,West,West,West,East,Southeast,West,West,East,West,West,West,West,West,East,West,West,West,West,East,West,Southwest,West,Southwest,West,South,West,West,West,Southwest,West,East,West,East,West,West,East,Northwest,South,Southwest,East,Southwest,Southeast,East,West,West,East,East,West,West,West,West,West,West,East,East,West,East,West,West,West,Southwest,West,Southwest,West,Southeast,Northwest,West,East,Southwest,West,West,West,West,West,West,West,West,West,East,East,West,West,West,West,East,East,East,West,West,West,South,West,West,West,West,West,West,East,Northeast,West,West,Northwest,West,East,West,West,Northwest,West,West,West,Southwest,West,West,West,West,West,#DIV/0!,Southwest,Southwest,Southwest,Southwest,West,West,East,West,Southwest,East,East,West,West,North,West,West,West,Southwest,West,Southwest,Southeast,West,West,Southeast,Southeast,East,West,West,Southeast,Southeast,Northeast,West,East,West,West,West,Southeast,West,East,Southeast,West,East,Southeast,East,West,West,East,West,West,West,North,West,West,West,West,West,West,West,West,Southeast,West,West,West,West,West,Southwest,West,Southwest,West,West,West,Southeast,West,Southwest,Northeast,West,West,Southwest,West,West,West,West,West,East,West,West,Southwest,South,West,Southeast,Southeast,West,West,West,West,East,Southeast,West,West,West,West,West,East,West,West,Southeast,East,Southwest,Southeast,West,West,Southwest
Madagascar,North,Northwest,Northwest,East,Northwest,West,West,West,West,North,West,East,Northwest,North,West,North,Northeast,West,North,Northwest,West,Northwest,Northwest,Northeast,West,West,Northwest,West,West,Northeast,West,East,North,Northwest,Northwest,Northeast,Northwest,Northwest,Northwest,West,Northwest,Northwest,West,Northeast,East,East,West,Northwest,East,West,Northwest,Northwest,West,West,North,Northwest,Northwest,Northwest,North,West,West,West,North,West,Northwest,North,North,Southwest,North,West,Northwest,East,North,Northwest,East,Southeast,Northwest,Northwest,North,Northwest,Northwest,Northwest,Northwest,West,West,East,West,Northwest,Northwest,Northwest,West,West,West,Northeast,Northwest,Northwest,Northeast,East,North,North,Northwest,Northwest,North,Northwest,West,Northeast,Northwest,North,North,Northwest,East,Northwest,North,Northeast,Northeast,North,North,Southwest,Northwest,Northwest,Northwest,North,Northwest,Northeast,#DIV/0!,Northwest,Northeast,Northeast,Northwest,Northwest,East,Northwest,East,West,East,North,Northwest,Northeast,Northwest,West,Northwest,West,Northeast,West,East,Northeast,Northwest,East,East,West,Northwest,Northwest,East,East,Northeast,Northwest,East,Northwest,North,Northeast,East,North,West,East,West,West,Northeast,West,North,Northwest,West,North,Northwest,North,Northeast,Northwest,West,West,West,West,West,Northwest,West,East,Northwest,Northwest,North,Northwest,North,Northeast,Northwest,East,West,North,Northwest,East,North,Southwest,Northeast,Northwest,Northwest,Northeast,Northwest,West,North,Northwest,North,Northeast,Northeast,Northwest,Northeast,East,Northwest,East,East,West,Northwest,North,North,West,East,West,Northwest,North,North,Northwest,West,West,North,East,West,Northeast,East,North,West,West
Malawi,Northeast,North,Northwest,East,Northwest,West,West,West,West,North,West,East,North,North,West,Northeast,Northeast,West,North,Northwest,West,Northwest,Northwest,Northeast,West,West,North,Southwest,West,East,West,East,North,Northwest,Northwest,East,Northwest,Northwest,Northwest,West,Northwest,Northwest,West,Northeast,East,East,West,East,East,West,Northwest,North,West,West,North,North,Northwest,North,North,West,West,West,North,West,Northwest,North,North,South,North,West,Northwest,East,North,Northwest,East,Southeast,Northwest,Northwest,North,North,Northwest,Northwest,North,Northwest,West,East,West,Northwest,Northwest,Northwest,West,West,West,Northeast,North,Northwest,Northeast,East,Northeast,North,Northwest,Northwest,North,North,West,Northeast,Northwest,North,Northeast,North,East,North,North,Northeast,Northeast,North,North,South,Northwest,Northwest,North,North,Northwest,Northeast,Southeast,#DIV/0!,East,Northeast,Northwest,North,East,Northwest,East,West,East,North,Northwest,Northeast,North,West,Northwest,South,Northeast,Southwest,East,Northeast,Northwest,East,East,West,Northwest,Northwest,East,East,Northeast,North,East,North,Northeast,Northeast,East,North,West,East,West,West,East,West,North,Northwest,West,Northeast,Northwest,North,Northeast,North,West,West,West,West,West,Northwest,West,East,North,Northwest,North,Northwest,North,East,Northwest,East,West,North,North,East,Northeast,Southwest,Northeast,North,Northwest,Northeast,North,West,North,Northwest,North,Northeast,Northeast,North,Northeast,East,Northwest,East,East,West,Northwest,North,Northeast,West,East,West,North,North,Northeast,Northwest,West,West,Northeast,East,West,East,East,Northeast,West,Southwest
Malaysia,Northwest,Northwest,West,East,West,West,West,West,West,Northwest,West,Southeast,Northwest,Northwest,West,Northwest,Northwest,West,Northwest,Northwest,East,West,West,Northwest,West,West,Northwest,West,West,West,West,East,Northwest,West,West,North,West,East,West,East,West,West,West,North,South,South,West,West,East,East,West,Northwest,West,West,Northwest,Northwest,West,Northwest,West,West,West,East,West,East,West,West,Northwest,Southwest,West,West,Northwest,East,Northwest,Northwest,East,Southwest,West,West,Northwest,Northwest,West,West,Northwest,Northwest,West,East,East,Northwest,West,West,West,West,East,Northeast,Northwest,Northwest,Northwest,Southeast,Northwest,Northwest,Northwest,Northwest,West,Northwest,West,Northeast,Northwest,West,Northwest,West,East,Northwest,Northwest,Northwest,North,Northwest,Northwest,Southwest,West,West,Northwest,Northwest,Northwest,Northeast,Southwest,West,#DIV/0!,West,West,West,East,West,Southwest,East,East,Northwest,Northwest,North,Northwest,West,West,West,North,West,East,Northwest,Northwest,East,Southeast,East,West,West,East,Southeast,Northeast,Northwest,East,Northwest,West,Northwest,East,Northwest,East,East,West,West,Northeast,East,Northwest,West,West,Northwest,West,Northwest,North,West,West,West,West,West,West,West,West,East,Northwest,West,West,West,Northwest,West,West,Southeast,West,Northwest,Northwest,East,West,Southwest,Northeast,West,West,West,West,West,Northwest,Northwest,Northwest,Northeast,Northwest,West,North,Southeast,West,East,East,West,West,Northwest,Northwest,West,East,West,West,Northwest,West,Northwest,East,West,Northwest,East,West,Northeast,East,West,West,West
Maldives,North,Northwest,West,East,Northwest,West,West,West,West,Northwest,West,Southeast,Northwest,Northwest,West,Northwest,Northeast,West,Northwest,Northwest,West,West,West,Northeast,West,West,Northwest,Southwest,West,South,West,East,Northwest,West,West,East,West,West,West,West,West,West,West,Northeast,Southeast,Southeast,West,Southwest,East,West,West,Northwest,West,West,Northwest,Northwest,West,Northwest,West,West,West,West,Northwest,West,West,West,Northwest,Southwest,West,Southwest,Northwest,East,Northwest,Northwest,East,South,West,West,Northwest,Northwest,West,Northwest,Northwest,Northwest,West,East,West,Northwest,West,West,West,West,West,Northeast,Northwest,Northwest,North,East,Northwest,Northwest,Northwest,Northwest,Northwest,Northwest,West,Northeast,Northwest,Northwest,North,West,East,Northwest,Northwest,North,Northeast,Northwest,Northwest,Southwest,West,West,Northwest,Northwest,Northwest,Northeast,Southwest,Southwest,East,#DIV/0!,West,Northwest,East,West,Southwest,West,East,Northwest,Northwest,Northeast,Northwest,West,West,Southwest,Northeast,Southwest,East,Northeast,Northwest,East,Southeast,West,West,West,East,East,Northeast,Northwest,East,Northwest,Northwest,North,East,Northwest,West,East,West,West,East,East,Northwest,Northwest,West,Northwest,West,Northwest,Northeast,West,West,West,West,West,West,West,West,East,Northwest,West,Northwest,West,Northwest,Southwest,West,East,West,Northwest,Northwest,East,West,Southwest,Northeast,West,Northwest,Northeast,West,West,Northwest,Northwest,Northwest,Northeast,North,West,Northeast,East,West,East,East,West,Northwest,Northwest,North,West,East,West,West,Northwest,Northwest,Northwest,West,West,North,East,West,East,East,Northwest,West,Southwest
Mali,East,Northeast,Northeast,West,North,Southeast,West,West,Southwest,Northeast,West,East,Northeast,Northeast,West,East,East,West,Northeast,North,West,Southeast,West,East,Southwest,West,Northeast,Southeast,Southwest,East,West,East,Northeast,Southeast,Southeast,East,Southeast,West,West,West,Southeast,East,Southwest,East,East,East,West,Southeast,West,West,South,Northeast,West,West,Northeast,Northeast,Southeast,North,East,West,West,West,East,West,Southeast,East,Northeast,Southeast,East,Southwest,North,West,Northeast,North,West,Southeast,Southeast,West,Northeast,Northeast,South,North,Northeast,Northwest,West,East,West,North,Southwest,Southwest,West,West,West,East,Northeast,North,East,East,East,East,North,North,East,Northeast,West,East,North,East,Northeast,Southeast,West,Northeast,East,East,East,Northeast,East,Southeast,Southwest,East,Northeast,Northeast,North,East,Southeast,Southeast,East,East,#DIV/0!,Northeast,East,Northwest,Southeast,West,East,Northeast,Northeast,East,Northeast,West,North,Southeast,East,Southeast,East,East,North,East,East,West,East,Southeast,West,East,East,Northeast,East,North,East,East,East,East,West,East,Southwest,West,East,West,Northeast,North,West,East,Southeast,Northeast,East,Southeast,West,South,West,West,West,Northwest,West,West,Northeast,Southeast,East,West,Northeast,East,Southwest,East,West,Northeast,Northeast,East,East,Southeast,East,East,North,East,East,West,Northeast,Northeast,East,East,East,Southeast,East,East,Southeast,West,West,West,Northeast,Northeast,East,West,West,West,Southeast,Northeast,East,North,West,Southwest,East,East,West,East,West,East,Southeast,Southeast
Malta,East,Northeast,Southwest,East,Northwest,South,West,West,Southwest,East,West,Southeast,North,East,West,East,East,West,Northeast,Northwest,West,Southwest,West,East,Southwest,West,North,South,Southwest,Southeast,West,East,Northeast,Southwest,South,East,South,West,Southwest,West,South,South,Southwest,East,Southeast,Southeast,West,Southeast,West,West,Southwest,North,West,West,East,North,South,North,Southeast,West,West,West,Southeast,West,South,Southeast,Northeast,South,Southeast,Southwest,Northwest,East,Northeast,Northwest,West,Southeast,South,Southwest,East,North,Southwest,West,Northeast,Northwest,West,East,West,Northwest,Southwest,Southwest,Southwest,West,West,East,Northeast,Northwest,East,East,East,East,Northwest,Northwest,East,North,West,East,Northwest,East,East,Southeast,East,Northeast,East,East,East,Northeast,East,South,Southwest,South,Northwest,Northeast,Northwest,East,Southeast,South,East,Southeast,Southwest,#DIV/0!,East,Southwest,Southeast,West,East,Northeast,Northwest,East,Northeast,West,West,South,East,South,East,East,Northwest,East,Southeast,West,South,South,East,Southeast,East,Northeast,East,North,East,East,East,East,West,East,Southwest,Southwest,East,Southwest,North,West,West,East,South,Northeast,East,South,West,South,West,West,West,West,West,East,North,South,East,Southwest,Northeast,Southeast,Southwest,East,West,Northeast,North,East,Southeast,South,East,Southeast,West,Southeast,Southeast,Southwest,North,Northwest,East,East,East,Southeast,East,East,Southwest,East,East,West,Southwest,East,East,West,East,West,Southeast,Northeast,East,Northwest,West,Southwest,East,East,West,East,East,Southeast,South,South
Marshall Islands,West,West,West,Southeast,West,West,East,East,East,West,East,Southwest,West,West,East,West,West,East,West,West,East,West,East,West,East,East,West,West,East,West,East,West,West,West,West,West,West,Northeast,East,East,West,West,East,Northwest,West,West,East,West,Southeast,East,West,West,East,East,West,West,West,West,West,East,East,East,West,East,West,West,West,West,West,Southeast,West,South,West,West,Southeast,Southwest,West,East,West,West,West,West,West,Northeast,East,West,East,West,East,East,East,East,East,West,West,East,West,West,West,West,West,West,West,West,East,Northwest,West,West,West,West,Southeast,West,West,West,West,West,West,West,East,West,West,West,West,West,West,West,West,West,West,West,#DIV/0!,East,West,East,West,West,West,Northwest,West,East,West,West,West,West,Southwest,West,West,South,South,East,West,West,Southeast,South,Northwest,West,West,West,West,West,West,West,East,Southwest,East,East,West,Southeast,West,West,East,West,West,West,Northwest,West,East,East,East,East,East,East,East,Southeast,West,West,West,East,West,West,East,West,East,West,West,Southwest,West,West,Northwest,West,West,West,West,East,West,West,West,West,West,West,West,West,West,Southeast,Southeast,East,West,West,West,East,Southeast,East,West,West,West,West,East,East,West,South,East,West,Southeast,West,West,West
Mauritania,East,Northeast,Northeast,West,Northeast,Southeast,West,West,Southwest,East,West,East,Northeast,East,West,East,East,West,Northeast,Northeast,West,Southeast,West,East,Southwest,West,Northeast,Southeast,Southwest,East,West,East,Northeast,Southeast,Southeast,East,Southeast,West,West,West,Southeast,East,Southwest,East,East,East,West,Southeast,West,West,South,Northeast,West,West,East,Northeast,Southeast,Northeast,East,West,West,West,East,West,Southeast,East,Northeast,Southeast,East,Southwest,North,West,Northeast,Northeast,West,Southeast,Southeast,Southwest,East,Northeast,Southeast,North,Northeast,Northwest,West,East,West,North,South,Southwest,West,West,West,East,Northeast,North,East,East,East,East,North,North,East,Northeast,West,East,North,East,East,Southeast,West,Northeast,East,East,East,Northeast,East,Southeast,South,East,Northeast,Northeast,Northeast,East,Southeast,Southeast,East,East,Southeast,Northeast,West,#DIV/0!,Southeast,West,East,Northeast,Northeast,East,Northeast,West,North,Southeast,East,Southeast,East,East,Northeast,East,West,West,East,Southeast,West,East,East,Northeast,East,Northeast,East,East,East,East,West,East,Southwest,Southwest,East,West,Northeast,North,West,East,Southeast,Northeast,East,Southeast,West,South,West,West,West,Northwest,West,West,Northeast,Southeast,East,Southwest,Northeast,East,South,East,West,Northeast,Northeast,East,East,Southeast,East,East,North,East,East,West,Northeast,Northeast,East,East,East,Southeast,East,East,Southeast,West,West,West,Northeast,East,East,West,West,West,Southeast,Northeast,East,North,West,Southwest,East,East,West,East,West,East,Southeast,Southeast
